# dataset=compas method=Reg-GDP task=classification n=6172 d=16
  Reg-GDP                            (lam=0.01) | Acc: 0.6546+/-0.0128 | GDP: 0.1196+/-0.0252 | MI: 0.0000 | MI_sk: 0.2634
  Reg-GDP                            (lam=0.1) | Acc: 0.6530+/-0.0137 | GDP: 0.1050+/-0.0241 | MI: 0.0000 | MI_sk: 0.2594
  Reg-GDP                            (lam=0.5) | Acc: 0.6502+/-0.0116 | GDP: 0.0793+/-0.0186 | MI: 0.0000 | MI_sk: 0.2603
  Reg-GDP                            (lam=1.0) | Acc: 0.6473+/-0.0116 | GDP: 0.0608+/-0.0163 | MI: 0.0000 | MI_sk: 0.2553
  Reg-GDP                            (lam=5.0) | Acc: 0.5406+/-0.0095 | GDP: 0.0007+/-0.0005 | MI: 0.0000 | MI_sk: 0.2602
  Reg-GDP                            (lam=10.0) | Acc: 0.5406+/-0.0095 | GDP: 0.0002+/-0.0001 | MI: 0.0000 | MI_sk: 0.2531
  Reg-GDP                            (lam=50.0) | Acc: 0.5406+/-0.0095 | GDP: 0.0001+/-0.0001 | MI: 0.0000 | MI_sk: 0.2540
  Reg-GDP                            (lam=100.0) | Acc: 0.5406+/-0.0095 | GDP: 0.0001+/-0.0001 | MI: 0.0000 | MI_sk: 0.2594
  Reg-GDP                            (lam=500.0) | Acc: 0.5406+/-0.0095 | GDP: 0.0001+/-0.0001 | MI: 0.0000 | MI_sk: 0.2482
