# dataset=compas method=LAFTR (binned) task=classification n=6172 d=16
  LAFTR (binned)                     (lam=0.01) | Acc: 0.6551+/-0.0129 | GDP: 0.1221+/-0.0256 | MI: 0.0000 | MI_sk: 0.2676
  LAFTR (binned)                     (lam=0.1) | Acc: 0.6543+/-0.0131 | GDP: 0.1256+/-0.0244 | MI: 0.0000 | MI_sk: 0.2658
  LAFTR (binned)                     (lam=0.5) | Acc: 0.6525+/-0.0123 | GDP: 0.1280+/-0.0221 | MI: 0.0000 | MI_sk: 0.2615
  LAFTR (binned)                     (lam=1.0) | Acc: 0.6521+/-0.0142 | GDP: 0.1251+/-0.0274 | MI: 0.0000 | MI_sk: 0.2573
  LAFTR (binned)                     (lam=5.0) | Acc: 0.6238+/-0.0316 | GDP: 0.0841+/-0.0284 | MI: 0.0000 | MI_sk: 0.2438
  LAFTR (binned)                     (lam=10.0) | Acc: 0.6376+/-0.0196 | GDP: 0.0774+/-0.0436 | MI: 0.0000 | MI_sk: 0.2457
  LAFTR (binned)                     (lam=50.0) | Acc: 0.6091+/-0.0198 | GDP: 0.0473+/-0.0401 | MI: 0.0000 | MI_sk: 0.2425
  LAFTR (binned)                     (lam=100.0) | Acc: 0.5830+/-0.0236 | GDP: 0.0606+/-0.0193 | MI: 0.0000 | MI_sk: 0.2533
  LAFTR (binned)                     (lam=500.0) | Acc: 0.5665+/-0.0262 | GDP: 0.0376+/-0.0221 | MI: 0.0000 | MI_sk: 0.2561
