# dataset=acs_income method=ADV gpu=4 task=classification n=20000 d=9
  ADV                                (lam=0.01) | Acc: 0.7902+/-0.0062 | GDP: 0.5133+/-0.0598 | MI: 0.1251 | MI_sk: 0.3956
  ADV                                (lam=0.1) | Acc: 0.7899+/-0.0065 | GDP: 0.5126+/-0.0615 | MI: 0.0652 | MI_sk: 0.3698
  ADV                                (lam=0.5) | Acc: 0.7864+/-0.0063 | GDP: 0.4948+/-0.0474 | MI: 0.0029 | MI_sk: 0.3581
  ADV                                (lam=1.0) | Acc: 0.7849+/-0.0040 | GDP: 0.4584+/-0.0485 | MI: 0.0000 | MI_sk: 0.3393
  ADV                                (lam=5.0) | Acc: 0.7819+/-0.0036 | GDP: 0.3127+/-0.0186 | MI: 0.0000 | MI_sk: 0.2979
  ADV                                (lam=10.0) | Acc: 0.7815+/-0.0044 | GDP: 0.2572+/-0.0211 | MI: 0.0000 | MI_sk: 0.2878
  ADV                                (lam=50.0) | Acc: 0.7645+/-0.0104 | GDP: 0.1638+/-0.0293 | MI: 0.0000 | MI_sk: 0.2742
  ADV                                (lam=100.0) | Acc: 0.7526+/-0.0079 | GDP: 0.1359+/-0.0110 | MI: 0.0000 | MI_sk: 0.2630
  ADV                                (lam=500.0) | Acc: 0.7662+/-0.0063 | GDP: 0.1159+/-0.0085 | MI: 0.0000 | MI_sk: 0.2718
