# dataset=meps method=Reg-GDP gpu=2 task=classification n=13283 d=19
  Reg-GDP                            (lam=0.01) | Acc: 0.8031+/-0.0039 | GDP: 0.5957+/-0.0145 | MI: 0.2243 | MI_sk: 0.4520
  Reg-GDP                            (lam=0.1) | Acc: 0.8014+/-0.0065 | GDP: 0.3702+/-0.0065 | MI: 0.1905 | MI_sk: 0.3983
  Reg-GDP                            (lam=0.5) | Acc: 0.7868+/-0.0029 | GDP: 0.0350+/-0.0067 | MI: 0.1081 | MI_sk: 0.2765
  Reg-GDP                            (lam=1.0) | Acc: 0.7843+/-0.0049 | GDP: 0.0110+/-0.0029 | MI: 0.1026 | MI_sk: 0.2673
  Reg-GDP                            (lam=5.0) | Acc: 0.7839+/-0.0047 | GDP: 0.0001+/-0.0001 | MI: 0.2137 | MI_sk: 0.2921
  Reg-GDP                            (lam=10.0) | Acc: 0.7839+/-0.0047 | GDP: 0.0001+/-0.0000 | MI: 0.1940 | MI_sk: 0.2892
  Reg-GDP                            (lam=50.0) | Acc: 0.7839+/-0.0047 | GDP: 0.0000+/-0.0000 | MI: 0.1974 | MI_sk: 0.2949
  Reg-GDP                            (lam=100.0) | Acc: 0.7839+/-0.0047 | GDP: 0.0000+/-0.0000 | MI: 0.2084 | MI_sk: 0.2883
  Reg-GDP                            (lam=500.0) | Acc: 0.7839+/-0.0047 | GDP: 0.0000+/-0.0000 | MI: 0.1864 | MI_sk: 0.2850
