# dataset=compas method=ADV task=classification n=6172 d=16
  ADV                                (lam=0.01) | Acc: 0.6541+/-0.0134 | GDP: 0.1224+/-0.0257 | MI: 0.0000 | MI_sk: 0.2625
  ADV                                (lam=0.1) | Acc: 0.6541+/-0.0130 | GDP: 0.1218+/-0.0250 | MI: 0.0000 | MI_sk: 0.2631
  ADV                                (lam=0.5) | Acc: 0.6534+/-0.0149 | GDP: 0.1222+/-0.0256 | MI: 0.0000 | MI_sk: 0.2748
  ADV                                (lam=1.0) | Acc: 0.6539+/-0.0136 | GDP: 0.1220+/-0.0248 | MI: 0.0000 | MI_sk: 0.2685
  ADV                                (lam=5.0) | Acc: 0.6541+/-0.0139 | GDP: 0.1181+/-0.0194 | MI: 0.0000 | MI_sk: 0.2695
  ADV                                (lam=10.0) | Acc: 0.6528+/-0.0138 | GDP: 0.1073+/-0.0205 | MI: 0.0000 | MI_sk: 0.2553
  ADV                                (lam=50.0) | Acc: 0.6518+/-0.0136 | GDP: 0.1021+/-0.0283 | MI: 0.0000 | MI_sk: 0.2535
  ADV                                (lam=100.0) | Acc: 0.6494+/-0.0099 | GDP: 0.0946+/-0.0262 | MI: 0.0000 | MI_sk: 0.2598
  ADV                                (lam=500.0) | Acc: 0.6381+/-0.0155 | GDP: 0.0815+/-0.0392 | MI: 0.0000 | MI_sk: 0.2571
