# dataset=meps method=ADV task=classification n=13283 d=19
  ADV                                (lam=0.01) | Acc: 0.8034+/-0.0035 | GDP: 0.6260+/-0.0164 | MI: 0.2028 | MI_sk: 0.4019
  ADV                                (lam=0.1) | Acc: 0.8036+/-0.0040 | GDP: 0.6160+/-0.0152 | MI: 0.1237 | MI_sk: 0.3910
  ADV                                (lam=0.5) | Acc: 0.8032+/-0.0047 | GDP: 0.5589+/-0.0095 | MI: 0.0072 | MI_sk: 0.3880
  ADV                                (lam=1.0) | Acc: 0.8026+/-0.0041 | GDP: 0.4798+/-0.0077 | MI: 0.0000 | MI_sk: 0.3460
  ADV                                (lam=5.0) | Acc: 0.7933+/-0.0044 | GDP: 0.1992+/-0.0202 | MI: 0.0000 | MI_sk: 0.2690
  ADV                                (lam=10.0) | Acc: 0.7892+/-0.0035 | GDP: 0.1136+/-0.0108 | MI: 0.0000 | MI_sk: 0.2634
  ADV                                (lam=50.0) | Acc: 0.7892+/-0.0052 | GDP: 0.1206+/-0.0651 | MI: 0.0000 | MI_sk: 0.2521
  ADV                                (lam=100.0) | Acc: 0.7889+/-0.0046 | GDP: 0.1269+/-0.1030 | MI: 0.0000 | MI_sk: 0.2901
  ADV                                (lam=500.0) | Acc: 0.7844+/-0.0060 | GDP: 0.0595+/-0.0116 | MI: 0.0000 | MI_sk: 0.2920
